acc,accuracy,average_response_time,avg_rt,background,bidi,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_number_input_1,correct_study_response,count_end,count_experiment,count_famrecall,count_get_input_loop_1,count_get_input_sequence_1,count_init_1,count_neptun_textinput,count_number_input_1,count_osweb,count_prestudy,count_prestudy_isi,count_prestudy_sequence,count_prestudy_stimpres,count_process_input_1,count_recall,count_recallcounter,count_recalltest_start,count_show_input_1,count_start,count_study,count_study_getresptime,count_study_isi,count_study_logger,count_study_response,count_study_sequence,count_study_start,count_study_stimp2,count_study_stimpres,count_test,count_test_start,count_textinp_1,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,empty_column,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,fampict,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,multichar_knowresp,opensesame_codename,opensesame_version,p2dur,penwidth,repeat_cycle,response,response_number_input_1,response_start,response_study_response,response_study_start,response_time,response_time_number_input_1,response_time_start,response_time_study_response,response_time_study_start,round_decimals,rtnr,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim,subject_nr,subject_parity,system_os,time_famrecall,time_get_input_loop_1,time_init_1,time_number_input_1,time_prestudy,time_prestudy_isi,time_prestudy_stimpres,time_process_input_1,time_show_input_1,time_start,time_study,time_study_getresptime,time_study_isi,time_study_logger,time_study_response,time_study_start,time_study_stimp2,time_study_stimpres,time_test,time_textinp_1,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
,,,,,,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-10-23,13-10-23,17:31:23,,,,,0,0,,0,0,0,,,,,,,,,,,2291,3.5.8,,,d8bq7g,,,,,,,,,,,,,,,,,,,1040,1920,24,1080,24,0,0,1920,,,,,,,,,,Win32,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1180,1180,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,19,0,0,19,0,0,19,19,19,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,13-10-23,13-10-23,17:31:23,Mon Nov 13 2023 17:31:23 GMT+0100 (közép-európai téli idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype3.png,no,mono,no,18,no,black,no,no,768,2291,3.5.8,legacy,xpyriment,d8bq7g,osweb,1.4.0,785,1,0,right,enter,space,right,space,2215,5115,17871,2215,22142,2,0,legacy,1040,1920,24,1080,24,0,0,1920,1699893176773,1024,2,48000,-16,experiment,p3sarrsha1.png,0,even,Win32,98,98,71,17716,98,129869,126852,22831,17716,22832,98,155770,156570,158086,153544,131385,155770,153544,98,22831,GNET_4stim_recallt_idinput_-_STUDY,0,24770,21,yes,1366
0,0,1184,1184,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,19,0,0,19,0,0,19,19,19,19,0,0,0,19,0,0,1,1,1,1,1,0,1,1,0,0,0,13-10-23,13-10-23,17:31:23,Mon Nov 13 2023 17:31:23 GMT+0100 (közép-európai téli idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype3.png,no,mono,no,18,no,black,no,no,768,2291,3.5.8,legacy,xpyriment,d8bq7g,osweb,1.4.0,1723,1,0,left,enter,space,left,space,1277,5115,17871,1277,22142,2,0,legacy,1040,1920,24,1080,24,0,0,1920,1699893176773,1024,2,48000,-16,experiment,p3sarrcol2.png,0,even,Win32,98,98,71,17716,98,129869,126852,22831,17716,22832,98,159370,161103,162620,158090,131385,159370,158090,98,22831,GNET_4stim_recallt_idinput_-_STUDY,0,26047,22,yes,1366
0,0,1175,1175,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,19,0,0,19,0,0,19,19,19,19,0,0,0,19,0,0,2,2,2,2,2,0,2,2,0,0,0,13-10-23,13-10-23,17:31:23,Mon Nov 13 2023 17:31:23 GMT+0100 (közép-európai téli idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype3.png,no,mono,no,18,no,black,no,no,768,2291,3.5.8,legacy,xpyriment,d8bq7g,osweb,1.4.0,2033,1,0,right,enter,space,right,space,967,5115,17871,967,22142,2,0,legacy,1040,1920,24,1080,24,0,0,1920,1699893176773,1024,2,48000,-16,experiment,p9sarr2.png,0,even,Win32,98,98,71,17716,98,129869,126852,22831,17716,22832,98,163603,165653,167170,162624,131385,163604,162624,98,22831,GNET_4stim_recallt_idinput_-_STUDY,0,27014,23,yes,1366
0,0,1167,1167,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,19,0,0,19,0,0,19,19,19,19,0,0,0,19,0,0,3,3,3,3,3,0,3,3,0,0,0,13-10-23,13-10-23,17:31:23,Mon Nov 13 2023 17:31:23 GMT+0100 (közép-európai téli idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype3.png,no,mono,no,18,no,black,no,no,768,2291,3.5.8,legacy,xpyriment,d8bq7g,osweb,1.4.0,2014,1,0,right,enter,space,right,space,986,5115,17871,986,22142,2,0,legacy,1040,1920,24,1080,24,0,0,1920,1699893176773,1024,2,48000,-16,experiment,p8sarr1.png,0,even,Win32,98,98,71,17716,98,129869,126852,22831,17716,22832,98,168170,170187,171703,167173,131385,168170,167173,98,22831,GNET_4stim_recallt_idinput_-_STUDY,0,28000,24,yes,1366
0,0,1161,1161,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,19,0,0,19,0,0,19,19,19,19,0,0,0,19,0,0,4,4,4,4,4,0,4,4,0,0,0,13-10-23,13-10-23,17:31:23,Mon Nov 13 2023 17:31:23 GMT+0100 (közép-európai téli idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype3.png,no,mono,no,18,no,black,no,no,768,2291,3.5.8,legacy,xpyriment,d8bq7g,osweb,1.4.0,1980,1,0,left,enter,space,left,space,1020,5115,17871,1020,22142,2,0,legacy,1040,1920,24,1080,24,0,0,1920,1699893176773,1024,2,48000,-16,experiment,prototype4.png,0,even,Win32,98,98,71,17716,98,129869,126852,22831,17716,22832,98,172737,174720,176237,171707,131385,172737,171707,98,22831,GNET_4stim_recallt_idinput_-_STUDY,0,29020,25,yes,1366
0,0,1149,1149,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,19,0,0,19,0,0,19,19,19,19,0,0,0,19,0,0,5,5,5,5,5,0,5,5,0,0,0,13-10-23,13-10-23,17:31:23,Mon Nov 13 2023 17:31:23 GMT+0100 (közép-európai téli idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype3.png,no,mono,no,18,no,black,no,no,768,2291,3.5.8,legacy,xpyriment,d8bq7g,osweb,1.4.0,2137,1,0,right,enter,space,right,space,863,5115,17871,863,22142,2,0,legacy,1040,1920,24,1080,24,0,0,1920,1699893176773,1024,2,48000,-16,experiment,p6sarr2.png,0,even,Win32,98,98,71,17716,98,129869,126852,22831,17716,22832,98,177104,179254,180771,176240,131385,177104,176240,98,22831,GNET_4stim_recallt_idinput_-_STUDY,0,29883,26,yes,1366
0,0,1148,1148,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,19,0,0,19,0,0,19,19,19,19,0,0,0,19,0,0,6,6,6,6,6,0,6,6,0,0,0,13-10-23,13-10-23,17:31:23,Mon Nov 13 2023 17:31:23 GMT+0100 (közép-európai téli idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype3.png,no,mono,no,18,no,black,no,no,768,2291,3.5.8,legacy,xpyriment,d8bq7g,osweb,1.4.0,1887,1,0,left,enter,space,left,space,1113,5115,17871,1113,22142,2,0,legacy,1040,1920,24,1080,24,0,0,1920,1699893176773,1024,2,48000,-16,experiment,prototype3.png,0,even,Win32,98,98,71,17716,98,129869,126852,22831,17716,22832,98,181887,183787,185304,180774,131385,181888,180774,98,22831,GNET_4stim_recallt_idinput_-_STUDY,0,30996,27,yes,1366
0,0,1170,1170,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,19,0,0,19,0,0,19,19,19,19,0,0,0,19,0,0,7,7,7,7,7,0,7,7,0,0,0,13-10-23,13-10-23,17:31:23,Mon Nov 13 2023 17:31:23 GMT+0100 (közép-európai téli idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype3.png,no,mono,no,18,no,black,no,no,768,2291,3.5.8,legacy,xpyriment,d8bq7g,osweb,1.4.0,1237,1,0,right,enter,space,right,space,1763,5115,17871,1763,22142,2,0,legacy,1040,1920,24,1080,24,0,0,1920,1699893176773,1024,2,48000,-16,experiment,p4sarrcol2.png,0,even,Win32,98,98,71,17716,98,129869,126852,22831,17716,22832,98,187071,188321,189838,185308,131385,187071,185308,98,22831,GNET_4stim_recallt_idinput_-_STUDY,0,32759,28,yes,1366
0,0,1170,1170,white,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0",xpyriment,legacy,legacy,0,uniform,,,,0,0,0,0,19,0,0,19,0,0,19,19,19,19,0,0,0,19,0,0,8,8,8,8,8,0,8,8,0,0,0,13-10-23,13-10-23,17:31:23,Mon Nov 13 2023 17:31:23 GMT+0100 (közép-európai téli idő),The main experiment item,yes,,0,0,C:\Users\zymotik\Documents\!research\GNET,0,0,0,prototype3.png,no,mono,no,18,no,black,no,no,768,2291,3.5.8,legacy,xpyriment,d8bq7g,osweb,1.4.0,1818,1,0,right,enter,space,right,space,1182,5115,17871,1182,22142,2,0,legacy,1040,1920,24,1080,24,0,0,1920,1699893176773,1024,2,48000,-16,experiment,p4sarrcol1.png,0,even,Win32,98,98,71,17716,98,129869,126852,22831,17716,22832,98,191038,192871,194388,189841,131385,191038,189841,98,22831,GNET_4stim_recallt_idinput_-_STUDY,0,33941,29,yes,1366
